ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-04-03,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-04-02,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-04-01,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-31,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-30,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-27,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-26,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-25,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-24,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-23,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-20,'000670,*STÓ¯·½,0.0,0.0,0.0,0.0,2.25,None,None,0.0,0,0.0,1837411560.0,1354093956.0
2020-03-19,'000670,*STÓ¯·½,2.25,2.25,2.09,2.15,2.14,0.11,5.1402,5.9245,35654896,78367754.78,1837411560.0,1354093956.0
2020-03-18,'000670,*STÓ¯·½,2.14,2.28,2.13,2.2,2.24,-0.1,-4.4643,5.5621,33473916,73538713.94,1747582550.4,1287893807.04
2020-03-17,'000670,*STÓ¯·½,2.24,2.26,2.08,2.08,2.15,0.09,4.186,6.2154,37405744,82611704.3,1829245286.4,1348075760.64
2020-03-16,'000670,*STÓ¯·½,2.15,2.16,2.06,2.16,2.06,0.09,4.3689,7.2433,43591587,93497535.68,1755748824.0,1293912002.4
2020-03-13,'000670,*STÓ¯·½,2.06,2.06,1.88,1.9,1.96,0.1,5.102,5.4474,32783811,66395445.43,1682252361.6,1239748244.16
2020-03-12,'000670,*STÓ¯·½,1.96,1.97,1.92,1.92,1.95,0.01,0.5128,1.8838,11337308,22097232.7,1600589625.6,1179566290.56
2020-03-11,'000670,*STÓ¯·½,1.95,1.99,1.93,1.93,1.94,0.01,0.5155,1.9027,11450700,22544032.9,1592423352.0,1173548095.2
2020-03-10,'000670,*STÓ¯·½,1.94,1.95,1.85,1.85,1.91,0.03,1.5707,1.7455,10504815,20053307.8,1584257078.4,1167529899.84
2020-03-09,'000670,*STÓ¯·½,1.91,1.96,1.91,1.94,1.99,-0.08,-4.0201,2.2605,13603915,26241994.4,1559758257.6,1149475313.76
2020-03-06,'000670,*STÓ¯·½,1.99,2.01,1.96,2.0,1.99,0.0,0.0,2.0351,12247631,24356870.69,1625088446.4,1197620876.64
2020-03-05,'000670,*STÓ¯·½,1.99,1.99,1.95,1.96,1.95,0.04,2.0513,1.9263,11592801,22907624.98,1625088446.4,1197620876.64
2020-03-04,'000670,*STÓ¯·½,1.95,1.98,1.9,1.93,1.96,-0.01,-0.5102,1.7464,10510390,20429713.6,1592423352.0,1173548095.2
2020-03-03,'000670,*STÓ¯·½,1.96,1.99,1.93,1.93,1.9,0.06,3.1579,2.7326,16445500,32387369.31,1600589625.6,1179566290.56
2020-03-02,'000670,*STÓ¯·½,1.9,1.93,1.83,1.89,1.92,-0.02,-1.0417,2.5635,15427788,29068173.84,1551591984.0,1143457118.4
