�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-11-18,'002076,*ST悕應,1.8,1.82,1.74,1.76,1.77,0.03,1.6949,0.945,7014147,12611244.93,1375403463.0,1335984903.0
2020-11-17,'002076,*ST悕應,1.77,1.8,1.72,1.8,1.81,-0.04,-2.2099,1.2471,9255874,16191452.39,1352480071.95,1313718487.95
2020-11-16,'002076,*ST悕應,1.81,1.92,1.81,1.81,1.91,-0.1,-5.2356,1.2518,9291092,17090662.08,1383044593.35,1343407041.35
2020-11-13,'002076,*ST悕應,1.91,1.97,1.85,1.86,1.91,0.0,0.0,0.5325,3952564,7556603.24,1459455896.85,1417628424.85
2020-11-12,'002076,*ST悕應,1.91,1.91,1.81,1.86,1.9,0.01,0.5263,0.7414,5502770,10245083.32,1459455896.85,1417628424.85
2020-11-11,'002076,*ST悕應,1.9,2.01,1.9,2.01,2.0,-0.1,-5.0,1.3264,9844400,18823512.0,1451814766.5,1410206286.5
2020-11-10,'002076,*ST悕應,2.0,2.05,1.98,2.0,2.08,-0.08,-3.8462,0.9762,7245700,14448007.96,1528226070.0,1484427670.0
2020-11-09,'002076,*ST悕應,2.08,2.1,2.04,2.07,2.06,0.02,0.9709,0.9171,6807000,14039117.0,1589355112.8,1543804776.8
2020-11-06,'002076,*ST悕應,2.06,2.07,2.03,2.05,2.06,0.0,0.0,0.5359,3977400,8136185.0,1574072852.1,1528960500.1
2020-11-05,'002076,*ST悕應,2.06,2.1,2.03,2.04,2.04,0.02,0.9804,0.7038,5223916,10743761.8,1574072852.1,1528960500.1
2020-11-04,'002076,*ST悕應,2.04,2.1,2.02,2.04,2.1,-0.06,-2.8571,0.71,5269365,10808909.64,1558790591.4,1514116223.4
2020-11-03,'002076,*ST悕應,2.1,2.15,2.05,2.05,2.05,0.05,2.439,1.4589,10828304,22944206.4,1604637373.5,1558649053.5
2020-11-02,'002076,*ST悕應,2.05,2.05,1.99,1.99,1.95,0.1,5.1282,0.4027,2989004,6116377.2,1566431721.75,1521538361.75
2020-10-30,'002076,*ST悕應,1.95,2.04,1.94,2.02,2.03,-0.08,-3.9409,0.5877,4361900,8634863.0,1490020418.25,1447316978.25
2020-10-29,'002076,*ST悕應,2.03,2.05,2.0,2.0,2.05,-0.02,-0.9756,0.6781,5033148,10211530.48,1551149461.05,1506694085.05
2020-10-28,'002076,*ST悕應,2.05,2.09,2.01,2.02,2.06,-0.01,-0.4854,0.6441,4780700,9782701.0,1566431721.75,1521538361.75
2020-10-27,'002076,*ST悕應,2.06,2.12,2.03,2.09,2.13,-0.07,-3.2864,0.8755,6498416,13456560.8,1574072852.1,1528960500.1
2020-10-26,'002076,*ST悕應,2.13,2.17,2.08,2.09,2.12,0.01,0.4717,1.2719,9440100,20123202.0,1627560764.55,1580915468.55
2020-10-23,'002076,*ST悕應,2.12,2.13,1.99,2.03,2.03,0.09,4.4335,1.3136,9749930,20275148.9,1619919634.2,1573493330.2
2020-10-22,'002076,*ST悕應,2.03,2.08,2.0,2.08,2.07,-0.04,-1.9324,0.7499,5566199,11318547.97,1551149461.05,1506694085.05
2020-10-21,'002076,*ST悕應,2.07,2.13,2.03,2.12,2.1,-0.03,-1.4286,0.8319,6174300,12747675.0,1581713982.45,1536382638.45
2020-10-20,'002076,*ST悕應,2.1,2.14,2.06,2.14,2.08,0.02,0.9615,0.6174,4582300,9554025.0,1604637373.5,1558649053.5
2020-10-19,'002076,*ST悕應,2.08,2.18,2.06,2.17,2.17,-0.09,-4.1475,1.3274,9852220,20790680.0,1589355112.8,1543804776.8
2020-10-16,'002076,*ST悕應,2.17,2.24,2.13,2.13,2.13,0.04,1.8779,1.1255,8353699,18245196.85,1658125285.95,1610604021.95
2020-10-15,'002076,*ST悕應,2.13,2.21,2.11,2.12,2.22,-0.09,-4.0541,3.3685,25001619,53292554.02,1627560764.55,1580915468.55
2020-10-14,'002076,*ST悕應,2.22,2.22,2.05,2.1,2.11,0.11,5.2133,4.2573,31597901,69176906.96,1696330937.7,1647714713.7
2020-10-13,'002076,*ST悕應,2.11,2.11,1.97,2.01,2.01,0.1,4.9751,2.3261,17264506,35667266.66,1612278503.85,1566071191.85
2020-10-12,'002076,*ST悕應,2.01,2.01,1.81,1.91,1.91,0.1,5.2356,3.3422,24806428,48602430.8,1535867200.35,1491849808.35
2020-10-09,'002076,*ST悕應,1.91,1.91,1.91,1.91,1.82,0.09,4.9451,0.2187,1623200,3100312.0,1459455896.85,1417628424.85
2020-09-30,'002076,*ST悕應,1.82,1.82,1.71,1.73,1.73,0.09,5.2023,1.1675,8665391,15467988.16,1390685723.7,1350829179.7
2020-09-29,'002076,*ST悕應,1.73,1.75,1.64,1.7,1.7,0.03,1.7647,1.6214,12034193,20290763.4,1321915550.55,1284029934.55
2020-09-28,'002076,*ST悕應,1.7,1.79,1.69,1.78,1.76,-0.06,-3.4091,1.2128,9001900,15555704.0,1298992159.5,1261763519.5
2020-09-25,'002076,*ST悕應,1.76,1.82,1.73,1.81,1.82,-0.06,-3.2967,1.6983,12605024,22135918.74,1344838941.6,1306296349.6
2020-09-24,'002076,*ST悕應,1.82,1.84,1.78,1.83,1.83,-0.01,-0.5464,0.9117,6766600,12263051.0,1390685723.7,1350829179.7
2020-09-23,'002076,*ST悕應,1.83,1.92,1.82,1.9,1.9,-0.07,-3.6842,1.5096,11204500,20715627.0,1398326854.05,1358251318.05
2020-09-22,'002076,*ST悕應,1.9,1.96,1.87,1.95,1.97,-0.07,-3.5533,1.1811,8766602,16709731.78,1451814766.5,1410206286.5
2020-09-21,'002076,*ST悕應,1.97,2.05,1.93,1.94,2.0,-0.03,-1.5,1.1935,8858304,17454922.76,1505302678.95,1462161254.95
2020-09-18,'002076,*ST悕應,2.0,2.08,1.98,2.0,1.98,0.02,1.0101,2.387,17716802,35879851.02,1528226070.0,1484427670.0
2020-09-17,'002076,*ST悕應,1.98,1.98,1.87,1.89,1.89,0.09,4.7619,1.3395,9942102,19370081.96,1512943809.3,1469583393.3
2020-09-16,'002076,*ST悕應,1.89,1.93,1.84,1.89,1.94,-0.05,-2.5773,3.4112,25318304,47278980.36,1444173636.15,1402784148.15
2020-09-15,'002076,*ST悕應,1.94,1.94,1.76,1.76,1.85,0.09,4.8649,4.3319,32151663,59719593.96,1482379287.9,1439894839.9
2020-09-14,'002076,*ST悕應,1.85,1.85,1.85,1.85,1.95,-0.1,-5.1282,0.2842,2109700,3902945.0,1413609114.75,1373095594.75
2020-09-11,'002076,*ST悕應,1.95,1.95,1.95,1.95,2.05,-0.1,-4.878,0.1841,1366500,2664675.0,1490020418.25,1447316978.25
2020-09-10,'002076,*ST悕應,2.05,2.05,2.05,2.05,2.16,-0.11,-5.0926,0.1815,1347300,2761965.0,1566431721.75,1521538361.75
2020-09-09,'002076,*ST悕應,2.16,2.23,2.16,2.22,2.27,-0.11,-4.8458,3.9287,29159400,63243976.0,1650484155.6,1603181883.6
2020-09-08,'002076,*ST悕應,2.27,2.32,2.22,2.22,2.34,-0.07,-2.9915,2.7291,20256060,45170869.2,1734536589.45,1684825405.45
2020-09-07,'002076,*ST悕應,2.34,2.34,2.34,2.34,2.46,-0.12,-4.878,0.8018,5950700,13924638.0,1788024501.9,1736780373.9
2020-09-04,'002076,*ST悕應,2.46,2.47,2.37,2.41,2.42,0.04,1.6529,0.766,5685400,13790095.0,1879718066.1,1825846034.1
2020-09-03,'002076,*ST悕應,2.42,2.45,2.4,2.45,2.43,-0.01,-0.4115,0.4435,3291630,7943861.3,1849153544.7,1796157480.7
2020-09-02,'002076,*ST悕應,2.43,2.49,2.42,2.49,2.47,-0.04,-1.6194,0.7073,5249500,12820342.09,1856794675.05,1803579619.05
2020-09-01,'002076,*ST悕應,2.47,2.48,2.41,2.44,2.43,0.04,1.6461,0.7089,5261202,12841706.88,1887359196.45,1833268172.45
2020-08-31,'002076,*ST悕應,2.43,2.45,2.35,2.41,2.39,0.04,1.6736,1.2986,9638110,23167248.86,1856794675.05,1803579619.05
2020-08-28,'002076,*ST悕應,2.39,2.5,2.37,2.45,2.49,-0.1,-4.0161,1.6531,12269700,29414308.0,1826230153.65,1773891065.65
2020-08-27,'002076,*ST悕應,2.49,2.51,2.44,2.47,2.51,-0.02,-0.7968,0.7432,5516200,13629397.0,1902641457.15,1848112449.15
2020-08-26,'002076,*ST悕應,2.51,2.56,2.43,2.45,2.44,0.07,2.8689,2.0983,15573900,39192515.0,1917923717.85,1862956725.85
2020-08-25,'002076,*ST悕應,2.44,2.44,2.33,2.33,2.32,0.12,5.1724,1.5412,11438938,27474607.44,1864435805.4,1811001757.4
2020-08-24,'002076,*ST悕應,2.32,2.42,2.29,2.42,2.41,-0.09,-3.7344,2.4909,18487937,42515645.03,1772742241.2,1721936097.2
2020-08-21,'002076,*ST悕應,2.41,2.49,2.39,2.44,2.45,-0.04,-1.6327,1.0651,7905200,19281806.8,1841512414.35,1788735342.35
2020-08-20,'002076,*ST悕應,2.45,2.51,2.43,2.46,2.49,-0.04,-1.6064,0.8435,6260900,15463762.0,1872076935.75,1818423895.75
2020-08-19,'002076,*ST悕應,2.49,2.59,2.48,2.57,2.57,-0.08,-3.1128,0.8931,6629000,16642141.0,1902641457.15,1848112449.15
2020-08-18,'002076,*ST悕應,2.57,2.6,2.52,2.52,2.58,-0.01,-0.3876,0.8469,6285500,16103336.0,1963770499.95,1907489555.95
2020-08-17,'002076,*ST悕應,2.58,2.65,2.41,2.41,2.54,0.04,1.5748,1.5211,11289900,28759487.0,1971411630.3,1914911694.3
2020-08-14,'002076,*ST悕應,2.54,2.54,2.54,2.54,2.67,-0.13,-4.8689,0.6131,4550500,11558270.0,1940847108.9,1885223140.9
2020-08-13,'002076,*ST悕應,2.67,2.67,2.67,2.67,2.81,-0.14,-4.9822,1.2998,9647600,25759092.0,2040181803.45,1981710939.45
2020-08-12,'002076,*ST悕應,2.81,2.88,2.72,2.88,2.84,-0.03,-1.0563,0.8141,6042700,16846498.0,2147157628.35,2085620876.35
2020-08-11,'002076,*ST悕應,2.84,2.89,2.83,2.88,2.88,-0.04,-1.3889,0.6046,4487100,12800350.0,2170081019.4,2107887291.4
2020-08-10,'002076,*ST悕應,2.88,2.89,2.83,2.87,2.88,0.0,0.0,0.6449,4786606,13728440.1,2200645540.8,2137575844.8
2020-08-07,'002076,*ST悕應,2.88,2.92,2.82,2.85,2.85,0.03,1.0526,0.9435,7003000,20098158.0,2200645540.8,2137575844.8
2020-08-06,'002076,*ST悕應,2.85,2.93,2.85,2.92,2.91,-0.06,-2.0619,0.9218,6842006,19713421.28,2177722149.75,2115309429.75
2020-08-05,'002076,*ST悕應,2.91,2.91,2.83,2.9,2.9,0.01,0.3448,0.8385,6223502,17899419.7,2223568931.85,2159842259.85
2020-08-04,'002076,*ST悕應,2.9,2.95,2.86,2.92,2.89,0.01,0.346,1.1173,8292416,23965370.0,2215927801.5,2152420121.5
2020-08-03,'002076,*ST悕應,2.89,2.89,2.76,2.8,2.75,0.14,5.0909,1.5616,11590116,33193999.08,2208286671.15,2144997983.15
2020-07-31,'002076,*ST悕應,2.75,2.76,2.68,2.74,2.74,0.01,0.365,0.7594,5636600,15376925.0,2101310846.25,2041088046.25
2020-07-30,'002076,*ST悕應,2.74,2.76,2.72,2.75,2.76,-0.02,-0.7246,0.4315,3202400,8783864.0,2093669715.9,2033665907.9
2020-07-29,'002076,*ST悕應,2.76,2.77,2.72,2.75,2.71,0.05,1.845,0.6385,4738730,13034775.5,2108951976.6,2048510184.6
2020-07-28,'002076,*ST悕應,2.71,2.72,2.66,2.66,2.66,0.05,1.8797,0.7703,5717304,15397333.8,2070746324.85,2011399492.85
2020-07-27,'002076,*ST悕應,2.66,2.75,2.57,2.73,2.7,-0.04,-1.4815,1.0542,7824316,20707546.3,2032540673.1,1974288801.1
2020-07-24,'002076,*ST悕應,2.7,2.84,2.7,2.83,2.84,-0.14,-4.9296,1.8312,13591548,37229116.82,2063105194.5,2003977354.5
2020-07-23,'002076,*ST悕應,2.84,2.9,2.81,2.9,2.88,-0.04,-1.3889,0.9904,7350758,20875094.08,2170081019.4,2107887291.4
2020-07-22,'002076,*ST悕應,2.88,2.9,2.83,2.87,2.87,0.01,0.3484,0.7844,5822040,16715394.28,2200645540.8,2137575844.8
2020-07-21,'002076,*ST悕應,2.87,2.9,2.82,2.86,2.86,0.01,0.3497,0.8446,6268646,17921868.1,2193004410.45,2130153706.45
2020-07-20,'002076,*ST悕應,2.86,2.96,2.83,2.96,2.88,-0.02,-0.6944,2.1767,16155752,46708200.14,2185363280.1,2122731568.1
2020-07-17,'002076,*ST悕應,2.88,2.88,2.71,2.74,2.74,0.14,5.1095,1.4153,10504744,29746601.72,2200645540.8,2137575844.8
2020-07-16,'002076,*ST悕應,2.74,2.89,2.72,2.82,2.82,-0.08,-2.8369,1.2446,9237830,26043608.6,2093669715.9,2033665907.9
2020-07-15,'002076,*ST悕應,2.82,2.93,2.82,2.91,2.91,-0.09,-3.0928,1.2269,9106400,26147226.0,2154798758.7,2093043014.7
2020-07-14,'002076,*ST悕應,2.91,2.94,2.83,2.88,2.88,0.03,1.0417,1.6814,12479764,36084527.36,2223568931.85,2159842259.85
2020-07-13,'002076,*ST悕應,2.88,2.92,2.75,2.78,2.81,0.07,2.4911,2.0832,15462154,44218488.66,2200645540.8,2137575844.8
2020-07-10,'002076,*ST悕應,2.81,2.81,2.57,2.66,2.69,0.12,4.461,2.7636,20511460,55406283.48,2147157628.35,2085620876.35
2020-07-09,'002076,*ST悕應,2.69,2.86,2.69,2.81,2.83,-0.14,-4.947,3.3994,25231135,68475755.19,2055464064.15,1996555216.15
2020-07-08,'002076,*ST悕應,2.83,2.88,2.8,2.81,2.85,-0.02,-0.7018,2.1534,15982523,45164099.86,2162439889.05,2100465153.05
2020-07-07,'002076,*ST悕應,2.85,2.99,2.84,2.9,2.86,-0.01,-0.3497,2.3286,17283048,50064906.58,2177722149.75,2115309429.75
2020-07-06,'002076,*ST悕應,2.86,2.92,2.79,2.79,2.85,0.01,0.3509,2.7398,20334993,58192037.8,2185363280.1,2122731568.1
2020-07-03,'002076,*ST悕應,2.85,2.99,2.8,2.91,2.85,0.0,0.0,3.4249,25419900,73729488.0,2177722149.75,2115309429.75
2020-07-02,'002076,*ST悕應,2.85,2.85,2.71,2.71,2.71,0.14,5.1661,1.8157,13476458,38203399.98,2177722149.75,2115309429.75
2020-07-01,'002076,*ST悕應,2.71,2.74,2.54,2.55,2.65,0.06,2.2642,3.0123,22357638,59559742.52,2070746324.85,2011399492.85
2020-06-30,'002076,*ST悕應,2.65,2.79,2.65,2.65,2.79,-0.14,-5.0179,3.1378,23289400,62065527.0,2024899542.75,1966866662.75
2020-06-29,'002076,*ST悕應,2.79,2.95,2.67,2.95,2.81,-0.02,-0.7117,8.6454,64167290,186456330.39,2131875367.65,2070776599.65
2020-06-24,'002076,*ST悕應,2.81,2.81,2.81,2.81,2.68,0.13,4.8507,0.4281,3177200,8927932.0,2147157628.35,2085620876.35
2020-06-23,'002076,*ST悕應,2.68,2.68,2.57,2.6,2.55,0.13,5.098,1.902,14116921,37533364.28,2047822933.8,1989133077.8
2020-06-22,'002076,*ST悕應,2.55,2.55,2.45,2.5,2.43,0.12,4.9383,2.2174,16457732,41708107.3,1948488239.25,1892645279.25
2020-06-19,'002076,*ST悕應,2.43,2.43,2.31,2.34,2.31,0.12,5.1948,1.4924,11076806,26520789.3,1856794675.05,1803579619.05
2020-06-18,'002076,*ST悕應,2.31,2.36,2.28,2.35,2.3,0.01,0.4348,1.3517,10032804,23104681.16,1765101110.85,1714513958.85
2020-06-17,'002076,*ST悕應,2.3,2.33,2.25,2.32,2.32,-0.02,-0.8621,2.2422,16642018,38073144.42,1757459980.5,1707091820.5
2020-06-16,'002076,*ST悕應,2.32,2.32,2.24,2.26,2.21,0.11,4.9774,3.6861,27358822,62888057.46,1772742241.2,1721936097.2
2020-06-15,'002076,*ST悕應,2.21,2.21,2.06,2.06,2.1,0.11,5.2381,1.7015,12629120,27666739.02,1688689807.35,1640292575.35
2020-06-12,'002076,*ST悕應,2.1,2.15,2.03,2.08,2.07,0.03,1.4493,2.4235,17987232,37873525.92,1604637373.5,1558649053.5
2020-06-11,'002076,*ST悕應,2.07,2.07,1.94,1.96,1.97,0.1,5.0761,1.1782,8745132,17929926.24,1581713982.45,1536382638.45
2020-06-10,'002076,*ST悕應,1.97,2.03,1.92,2.03,2.02,-0.05,-2.4752,2.8039,20811202,40998864.88,1505302678.95,1462161254.95
2020-06-09,'002076,*ST悕應,2.02,2.02,1.93,2.02,1.92,0.1,5.2083,3.5273,26180082,52650295.62,1543508330.7,1499271946.7
