ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ
2020-11-18,'002081,Ѕр у« тл,10.36,10.68,10.31,10.66,10.74,-0.38,-3.5382,0.7677,20366603,212358446.81,27799596018.0,27484289418.0
2020-11-17,'002081,Ѕр у« тл,10.74,10.93,10.71,10.8,10.8,-0.06,-0.5556,0.5344,14176687,153057464.29,28819272319.9,28492400419.9
2020-11-16,'002081,Ѕр у« тл,10.8,10.8,10.42,10.47,10.47,0.33,3.1519,0.6038,16019633,170689616.43,28980273841.2,28651575841.2
2020-11-13,'002081,Ѕр у« тл,10.47,10.55,10.22,10.48,10.56,-0.09,-0.8523,0.5448,14453887,150174590.6,28094765473.8,27776111023.8
2020-11-12,'002081,Ѕр у« тл,10.56,10.89,10.5,10.87,10.89,-0.33,-3.0303,0.8172,21680340,230716577.4,28336267755.8,28014874155.8
2020-11-11,'002081,Ѕр у« тл,10.89,11.09,10.38,10.43,10.45,0.44,4.2105,1.325,35152004,381200631.2,29221776123.2,28890338973.2
2020-11-10,'002081,Ѕр у« тл,10.45,10.59,10.37,10.49,10.48,-0.03,-0.2863,0.5415,14366023,150475154.54,28041098300.0,27723052550.0
2020-11-09,'002081,Ѕр у« тл,10.48,10.7,10.42,10.45,10.43,0.05,0.4794,0.7741,20536330,216436614.43,28121599060.7,27802640260.7
2020-11-06,'002081,Ѕр у« тл,10.43,10.59,10.31,10.54,10.53,-0.1,-0.9497,0.5482,14543742,151290919.22,27987431126.3,27669994076.3
2020-11-05,'002081,Ѕр у« тл,10.53,10.73,10.42,10.59,10.55,-0.02,-0.1896,0.6127,16253626,171331703.29,28255766995.2,27935286445.2
2020-11-04,'002081,Ѕр у« тл,10.55,10.59,10.17,10.27,10.34,0.21,2.0309,0.9444,25055231,260692671.89,28309434169.0,27988344919.0
