хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-11-18,'002227,╟б ль я╦,15.8,15.9,14.69,14.85,14.92,0.88,5.8981,3.9796,8778929,134825614.82,3485438920.0,3485438920.0
2020-11-17,'002227,╟б ль я╦,14.92,15.36,14.66,14.8,14.9,0.02,0.1342,2.5914,5716602,86118544.01,3291313208.0,3291313208.0
2020-11-16,'002227,╟б ль я╦,14.9,15.1,14.29,14.45,14.52,0.38,2.6171,2.6551,5857104,86833209.06,3286901260.0,3286901260.0
2020-11-13,'002227,╟б ль я╦,14.52,14.79,14.37,14.56,14.57,-0.05,-0.3432,1.7412,3841000,55805994.0,3203074248.0,3203074248.0
2020-11-12,'002227,╟б ль я╦,14.57,14.6,14.13,14.33,14.38,0.19,1.3213,2.6166,5772200,83131041.0,3214104118.0,3214104118.0
2020-11-11,'002227,╟б ль я╦,14.38,14.83,14.15,14.63,14.65,-0.27,-1.843,3.1135,6868291,98710929.07,3172190612.0,3172190612.0
2020-11-10,'002227,╟б ль я╦,14.65,15.6,14.57,15.6,15.71,-1.06,-6.7473,4.0004,8824680,131625999.62,3231751910.0,3231751910.0
2020-11-09,'002227,╟б ль я╦,15.71,16.11,15.52,15.7,15.88,-0.17,-1.0705,4.7784,10541074,165793473.54,3465585154.0,3465585154.0
2020-11-06,'002227,╟б ль я╦,15.88,16.64,15.42,15.97,15.86,0.02,0.1261,4.4262,9764192,155714878.08,3503086712.0,3503086712.0
2020-11-05,'002227,╟б ль я╦,15.86,16.27,15.51,15.6,15.44,0.42,2.7202,4.7737,10530660,167535983.34,3498674764.0,3498674764.0
2020-11-04,'002227,╟б ль я╦,15.44,16.86,15.03,15.39,15.4,0.04,0.2597,6.5107,14362379,227234297.34,3406023856.0,3406023856.0
2020-11-03,'002227,╟б ль я╦,15.4,15.93,15.0,15.93,15.99,-0.59,-3.6898,7.536,16624210,255807000.27,3397199960.0,3397199960.0
2020-11-02,'002227,╟б ль я╦,15.99,15.99,14.6,14.9,14.54,1.45,9.9725,8.9558,19756359,306389812.0,3527352426.0,3527352426.0
2020-10-30,'002227,╟б ль я╦,14.54,14.88,13.66,13.8,13.53,1.01,7.4649,6.7877,14973476,216288668.87,3207486196.0,3207486196.0
2020-10-29,'002227,╟б ль я╦,13.53,13.8,13.0,13.2,13.26,0.27,2.0362,2.0755,4578400,61431767.87,2984682822.0,2984682822.0
2020-10-28,'002227,╟б ль я╦,13.26,13.31,12.82,13.14,13.16,0.1,0.7599,0.9722,2144674,28080718.24,2925121524.0,2925121524.0
2020-10-27,'002227,╟б ль я╦,13.16,13.38,13.01,13.2,13.21,-0.05,-0.3785,0.7911,1745100,23022494.0,2903061784.0,2903061784.0
2020-10-26,'002227,╟б ль я╦,13.21,13.35,12.37,12.54,12.64,0.57,4.5095,1.3193,2910401,38085806.12,2914091654.0,2914091654.0
2020-10-23,'002227,╟б ль я╦,12.64,13.14,12.6,12.77,12.63,0.01,0.0792,0.5997,1322923,17026830.54,2788351136.0,2788351136.0
2020-10-22,'002227,╟б ль я╦,12.63,12.98,12.59,12.98,12.81,-0.18,-1.4052,0.3692,814500,10314830.0,2786145162.0,2786145162.0
2020-10-21,'002227,╟б ль я╦,12.81,13.2,12.78,13.17,13.17,-0.36,-2.7335,0.5608,1237000,15955768.0,2825852694.0,2825852694.0
2020-10-20,'002227,╟б ль я╦,13.17,13.25,12.91,13.01,13.04,0.13,0.9969,0.4287,945802,12366837.82,2905267758.0,2905267758.0
2020-10-19,'002227,╟б ль я╦,13.04,13.43,13.02,13.42,13.22,-0.18,-1.3616,0.527,1162461,15341418.72,2876590096.0,2876590096.0
2020-10-16,'002227,╟б ль я╦,13.22,13.4,11.78,12.95,13.09,0.13,0.9931,0.9544,2105391,27597987.03,2916297628.0,2916297628.0
2020-10-15,'002227,╟б ль я╦,13.09,13.5,13.03,13.03,13.39,-0.3,-2.2405,1.0162,2241800,29644664.0,2887619966.0,2887619966.0
2020-10-14,'002227,╟б ль я╦,13.39,13.56,13.01,13.1,13.2,0.19,1.4394,1.722,3798611,50876612.48,2953799186.0,2953799186.0
2020-10-13,'002227,╟б ль я╦,13.2,13.29,12.88,13.13,13.43,-0.23,-1.7126,1.7343,3825834,49910599.08,2911885680.0,2911885680.0
2020-10-12,'002227,╟б ль я╦,13.43,13.57,12.61,12.65,12.34,1.09,8.8331,2.3933,5279615,70264518.55,2962623082.0,2962623082.0
2020-10-09,'002227,╟б ль я╦,12.34,12.44,12.11,12.12,12.03,0.31,2.5769,0.318,701607,8644370.29,2722171916.0,2722171916.0
