ШеЦк,ЙЩЦБДњТы,УћГЦ,ЪеХЬМл,зюИпМл,зюЕЭМл,ПЊХЬМл,ЧАЪеХЬ,еЧЕјЖю,еЧЕјЗљ,ЛЛЪжТЪ,ГЩНЛСП,ГЩНЛН№Жю,змЪажЕ,СїЭЈЪажЕ
2020-11-18,'002287,Цце§ВивЉ,24.85,24.94,24.65,24.75,24.68,0.17,0.6888,0.1792,945964,23441224.74,13175616913.2,13118799823.5
2020-11-17,'002287,Цце§ВивЉ,24.68,25.15,24.6,25.0,24.95,-0.27,-1.0822,0.2668,1408573,34811226.75,13085481908.2,13029053506.8
2020-11-16,'002287,Цце§ВивЉ,24.95,25.2,24.57,24.7,24.7,0.25,1.0121,0.2963,1564026,39053545.81,13228637504.4,13171591774.5
2020-11-13,'002287,Цце§ВивЉ,24.7,25.1,24.55,24.94,24.94,-0.24,-0.9623,0.255,1346005,33390561.38,13096086026.4,13039611897.0
2020-11-12,'002287,Цце§ВивЉ,24.94,25.25,24.8,25.02,24.98,-0.04,-0.1601,0.2266,1196325,29900825.76,13223335445.3,13166312579.4
2020-11-11,'002287,Цце§ВивЉ,24.98,25.37,24.73,25.15,25.38,-0.4,-1.576,0.469,2475899,61898207.17,13244543681.8,13187429359.8
2020-11-10,'002287,Цце§ВивЉ,25.38,26.35,25.16,25.71,25.49,-0.11,-0.4315,0.5598,2955308,75803091.02,13456626046.6,13398597163.8
2020-11-09,'002287,Цце§ВивЉ,25.49,25.73,24.93,24.93,24.9,0.59,2.3695,0.5722,3020676,76790942.84,13514948696.9,13456668309.9
2020-11-06,'002287,Цце§ВивЉ,24.9,25.73,24.75,25.6,25.6,-0.7,-2.7344,0.5231,2761510,68988894.16,13202502377.1,13145195799.0
2020-11-05,'002287,Цце§ВивЉ,25.6,25.9,25.36,25.52,25.42,0.18,0.7081,0.3127,1650565,42163950.05,13573657062.4,13514739456.0
2020-11-04,'002287,Цце§ВивЉ,25.42,26.0,25.31,25.81,25.81,-0.39,-1.511,0.31,1636347,41842570.58,13478217286.2,13419713944.2
2020-11-03,'002287,Цце§ВивЉ,25.81,25.87,25.23,25.39,25.3,0.51,2.0158,0.3595,1898018,48641609.35,13685003468.0,13625602553.1
2020-11-02,'002287,Цце§ВивЉ,25.3,26.04,25.16,25.91,25.88,-0.58,-2.2411,0.4188,2211153,56199957.3,13414590768.7,13356363603.0
2020-10-30,'002287,Цце§ВивЉ,25.88,26.76,25.83,26.62,26.72,-0.84,-3.1437,0.5056,2669105,69909875.59,13722118936.5,13662556918.8
2020-10-29,'002287,Цце§ВивЉ,26.72,27.1,25.8,25.85,26.27,0.45,1.713,0.6121,3231344,85753472.09,14167504558.9,14106009307.2
2020-10-28,'002287,Цце§ВивЉ,26.27,26.75,25.85,26.74,26.74,-0.47,-1.7577,0.509,2687118,70397323.55,13928905118.3,13868445527.7
2020-10-27,'002287,Цце§ВивЉ,26.74,27.37,26.56,26.99,27.0,-0.26,-0.963,0.6278,3314214,89458133.88,14178108978.5,14116567697.4
2020-10-26,'002287,Цце§ВивЉ,27.0,27.27,25.69,26.11,26.17,0.83,3.1716,0.6291,3320890,88410399.65,14315966433.0,14253826770.0
2020-10-23,'002287,Цце§ВивЉ,26.17,26.99,26.0,26.67,26.32,-0.15,-0.5699,0.4746,2505598,66179460.53,13875883020.4,13815653576.7
2020-10-22,'002287,Цце§ВивЉ,26.32,26.61,25.77,26.59,26.91,-0.59,-2.1925,0.5763,3042234,79776360.66,13955416167.3,13894841503.2
2020-10-21,'002287,Цце§ВивЉ,26.91,27.9,26.91,27.15,27.09,-0.18,-0.6645,0.5838,3082166,84288672.72,14268246544.9,14206314014.1
2020-10-20,'002287,Цце§ВивЉ,27.09,27.18,26.42,26.7,26.86,0.23,0.8563,0.5236,2764172,74123238.96,14363686321.1,14301339525.9
2020-10-19,'002287,Цце§ВивЉ,26.86,28.17,26.84,28.11,28.19,-1.33,-4.718,0.9125,4817336,131723595.73,14241735495.9,14179918038.6
2020-10-16,'002287,Цце§ВивЉ,28.19,28.25,27.42,27.75,27.72,0.47,1.6955,0.8944,4721953,131776335.63,14946929398.0,14882050986.9
2020-10-15,'002287,Цце§ВивЉ,27.72,28.92,27.52,28.32,28.38,-0.66,-2.3256,1.086,5733090,160033634.66,14697725537.9,14633928817.2
2020-10-14,'002287,Цце§ВивЉ,28.38,30.1,27.66,28.21,28.84,-0.46,-1.595,2.2823,12048770,348651728.47,15047671384.0,14982355693.8
2020-10-13,'002287,Цце§ВивЉ,28.84,29.3,27.01,27.27,27.26,1.58,5.796,1.9275,10175783,284876381.52,15291573034.4,15225198668.4
2020-10-12,'002287,Цце§ВивЉ,27.26,27.68,26.81,27.1,26.97,0.29,1.0753,1.0761,5681000,153903995.37,14453823887.5,14391085842.6
2020-10-09,'002287,Цце§ВивЉ,26.97,27.08,25.76,25.89,25.41,1.56,6.1393,1.3319,7031435,186935379.94,14300059803.6,14237989184.7
2020-09-30,'002287,Цце§ВивЉ,25.41,26.2,25.22,25.37,25.35,0.06,0.2367,0.9859,5204757,133577759.49,13472915076.4,13414434749.1
2020-09-29,'002287,Цце§ВивЉ,25.35,25.78,23.92,25.5,25.92,-0.57,-2.1991,1.455,7681018,191183877.21,13441101817.6,13382759578.5
2020-09-28,'002287,Цце§ВивЉ,25.92,28.78,25.92,28.53,28.8,-2.88,-10.0,1.8054,9531232,254127557.14,13743327775.7,13683673699.2
2020-09-25,'002287,Цце§ВивЉ,28.8,30.57,28.48,28.5,29.33,-0.53,-1.807,2.7784,14667904,431730895.61,15270364195.2,15204081888.0
2020-09-24,'002287,Цце§ВивЉ,29.33,30.2,26.18,27.2,27.46,1.87,6.8099,3.3148,17498571,491395779.01,15551381314.1,15483256112.5
2020-09-23,'002287,Цце§ВивЉ,27.46,28.24,26.32,26.66,26.55,0.91,3.4275,1.8823,9936787,272595222.34,14559868083.3,14496086356.9
2020-09-22,'002287,Цце§ВивЉ,26.55,27.63,26.39,26.78,27.16,-0.61,-2.2459,1.071,5653528,151777995.6,14077366992.5,14015698935.8
2020-09-21,'002287,Цце§ВивЉ,27.16,27.86,26.96,27.47,27.52,-0.36,-1.3081,0.9876,5213368,141987282.45,14400801789.6,14337716877.4
2020-09-18,'002287,Цце§ВивЉ,27.52,27.72,26.48,27.6,27.13,0.39,1.4375,1.1817,6238359,169877982.93,14591681342.1,14527760252.8
2020-09-17,'002287,Цце§ВивЉ,27.13,27.4,26.55,26.64,27.01,0.12,0.4443,0.4833,2551078,68892667.79,14384895160.3,14321879929.5
2020-09-16,'002287,Цце§ВивЉ,27.01,27.72,26.61,27.59,27.72,-0.71,-2.5613,0.6197,3271419,88409242.46,14321268642.8,14258532137.6
2020-09-15,'002287,Цце§ВивЉ,27.72,28.0,26.92,27.26,27.3,0.42,1.5385,0.6737,3556550,97653033.86,14697725537.9,14633339905.8
2020-09-14,'002287,Цце§ВивЉ,27.3,27.82,27.09,27.8,27.57,-0.27,-0.9793,0.4772,2519303,69033752.64,14475032726.7,14411622634.5
2020-09-11,'002287,Цце§ВивЉ,27.57,27.68,26.9,27.27,26.91,0.66,2.4526,0.491,2592067,70921167.38,14618192391.0,14554155166.0
2020-09-10,'002287,Цце§ВивЉ,26.91,28.1,26.76,27.74,27.26,-0.35,-1.2839,0.753,3975235,109245784.26,14268246544.9,14205742311.1
2020-09-09,'002287,Цце§ВивЉ,27.26,28.87,27.11,28.63,28.9,-1.64,-5.6747,0.7924,4182990,116188467.75,14453823887.5,14390506703.9
2020-09-08,'002287,Цце§ВивЉ,28.9,29.81,28.28,29.26,29.17,-0.27,-0.9256,0.6637,3503736,101016255.49,15323386293.1,15256259858.5
2020-09-07,'002287,Цце§ВивЉ,29.17,30.88,29.14,30.6,30.88,-1.71,-5.5376,0.9184,4847977,144763874.06,15466545957.4,15398792390.0
