日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-11-18,'002400,省广集团,6.44,6.48,6.38,6.43,6.43,0.01,0.1555,1.8154,31337090,201296789.37,11227091104.3,11116521488.5
2020-11-17,'002400,省广集团,6.43,6.59,6.4,6.57,6.63,-0.2,-3.0166,2.5776,44494086,288219380.24,11209657733.0,11099259809.2
2020-11-16,'002400,省广集团,6.63,6.72,6.47,6.57,6.66,-0.03,-0.4505,2.6511,45762889,301477353.09,11558325158.6,11444493395.8
2020-11-13,'002400,省广集团,6.66,6.87,6.66,6.78,6.7,-0.04,-0.597,2.8049,48416599,326526358.23,11610625272.5,11496278433.8
2020-11-12,'002400,省广集团,6.7,6.85,6.46,6.61,6.61,0.09,1.3616,3.5259,60862222,404611752.0,11680358757.6,11565325151.1
2020-11-11,'002400,省广集团,6.61,6.84,6.6,6.8,6.9,-0.29,-4.2029,3.4283,59177624,396492854.09,11523458416.1,11409970037.1
2020-11-10,'002400,省广集团,6.9,6.95,6.7,6.86,6.85,0.05,0.7299,5.1898,89584563,613010018.65,12029026183.2,11910558737.7
2020-11-09,'002400,省广集团,6.85,6.99,6.65,6.81,6.81,0.04,0.5874,6.0392,104246820,708907953.54,11941859326.8,11824250341.0
2020-11-06,'002400,省广集团,6.81,7.1,6.74,6.8,6.53,0.28,4.2879,7.6803,132574319,913987993.39,11872125841.7,11755203623.7
2020-11-05,'002400,省广集团,6.53,6.65,6.38,6.4,6.29,0.24,3.8156,4.7427,81866267,533155013.03,11383991445.8,11271876602.5
2020-11-04,'002400,省广集团,6.29,6.45,6.27,6.45,6.44,-0.15,-2.3292,2.3764,41019967,259495889.26,10965590535.1,10857596298.6
2020-11-03,'002400,省广集团,6.44,6.52,6.21,6.32,6.38,0.06,0.9404,2.8986,50034282,320168099.26,11227091104.3,11116521488.5
2020-11-02,'002400,省广集团,6.38,6.56,6.34,6.47,6.46,-0.08,-1.2384,2.3726,40955055,263793114.17,11122490876.6,11012951412.5
2020-10-30,'002400,省广集团,6.46,6.73,6.45,6.62,6.63,-0.17,-2.5641,2.6126,45098558,296160571.23,11261957846.9,11151044847.2
2020-10-29,'002400,省广集团,6.63,6.68,6.45,6.6,6.81,-0.18,-2.6432,3.1129,53734609,354245765.78,11558325158.6,11444493395.8
2020-10-28,'002400,省广集团,6.81,6.89,6.76,6.87,6.91,-0.1,-1.4472,2.2928,39577393,269324551.55,11872125841.7,11755203623.7
2020-10-27,'002400,省广集团,6.91,7.12,6.9,7.03,7.17,-0.26,-3.6262,3.9733,68585907,478233930.67,12046459554.5,11927820417.0
2020-10-26,'002400,省广集团,7.17,7.34,6.61,6.77,6.78,0.39,5.7522,6.9959,120761156,856966801.49,12499727207.8,12376624079.6
2020-10-23,'002400,省广集团,6.78,6.96,6.71,6.88,6.9,-0.12,-1.7391,3.1335,54089707,368212746.52,11819825727.8,11703418585.7
2020-10-22,'002400,省广集团,6.9,7.06,6.66,7.06,7.07,-0.17,-2.4045,3.5002,60419766,417340585.84,12029026183.2,11910558737.7
2020-10-21,'002400,省广集团,7.07,7.26,7.06,7.12,7.13,-0.06,-0.8415,3.9916,68902444,493719102.37,12325393495.0,12204007286.3
2020-10-20,'002400,省广集团,7.13,7.16,6.96,7.05,7.09,0.04,0.5642,2.9811,51458405,363095984.51,12429993722.6,12307577362.3
2020-10-19,'002400,省广集团,7.09,7.16,6.92,7.06,7.05,0.04,0.5674,3.3022,57000869,401145476.98,12360260237.5,12238530645.0
2020-10-16,'002400,省广集团,7.05,7.06,6.9,7.02,7.03,0.02,0.2845,2.4992,43141212,301422697.3,12290526752.4,12169483927.6
2020-10-15,'002400,省广集团,7.03,7.18,7.0,7.18,7.16,-0.13,-1.8156,2.7308,47137450,332456219.57,12255660009.8,12134960569.0
2020-10-14,'002400,省广集团,7.16,7.32,7.11,7.3,7.37,-0.21,-2.8494,4.0657,70181058,503940797.68,12482293836.5,12359362400.3
2020-10-13,'002400,省广集团,7.37,7.44,7.18,7.29,7.36,0.01,0.1359,5.0149,86565989,632170846.51,12848394633.4,12721857666.2
2020-10-12,'002400,省广集团,7.36,7.39,7.06,7.13,7.07,0.29,4.1018,5.0801,87691136,635618484.78,12830961262.1,12704595986.9
2020-10-09,'002400,省广集团,7.07,7.14,6.93,6.99,6.85,0.22,3.2117,3.4748,59981488,422514131.57,12325393495.0,12204007286.3
2020-09-30,'002400,省广集团,6.85,6.96,6.8,6.92,6.89,-0.04,-0.5806,2.4925,43024991,295243862.52,11941859326.8,11824250341.0
2020-09-29,'002400,省广集团,6.89,7.03,6.8,7.0,6.92,-0.03,-0.4335,3.403,58741642,406791692.77,12011592811.9,11893297058.4
2020-09-28,'002400,省广集团,6.92,7.32,6.91,7.28,7.15,-0.23,-3.2168,3.5715,61650295,435202206.22,12063892925.8,11945082096.4
2020-09-25,'002400,省广集团,7.15,7.34,7.12,7.25,7.17,-0.02,-0.2789,3.4567,59669134,429436410.28,12464860465.2,12342100721.0
2020-09-24,'002400,省广集团,7.17,7.34,7.15,7.34,7.46,-0.29,-3.8874,5.0704,87523439,631262653.0,12499727207.8,12376624079.6
2020-09-23,'002400,省广集团,7.46,7.65,7.35,7.51,7.58,-0.12,-1.5831,6.119,105624293,787598578.53,13005294974.9,12877212780.2
2020-09-22,'002400,省广集团,7.58,7.94,7.51,7.8,8.16,-0.58,-7.1078,11.9285,205906510,1591097425.98,13214495430.2,13084352932.1
2020-09-21,'002400,省广集团,8.16,8.16,7.75,8.1,7.42,0.74,9.973,14.6221,252401664,2041408180.03,14225630964.5,14085530333.3
2020-09-18,'002400,省广集团,7.42,7.51,7.28,7.4,7.33,0.09,1.2278,4.8098,83024493,615016624.07,12935561489.8,12808166062.9
2020-09-17,'002400,省广集团,7.33,7.57,7.1,7.2,7.35,-0.02,-0.2721,5.8872,101622837,743952737.92,12778661148.2,12652810948.9
2020-09-16,'002400,省广集团,7.35,7.65,7.32,7.6,7.83,-0.48,-6.1303,7.6464,131989447,981990870.21,12813527890.8,12687334307.5
2020-09-15,'002400,省广集团,7.83,8.1,7.55,8.0,7.48,0.35,4.6791,13.2906,229417723,1798357992.12,13650329712.2,13515894915.4
2020-09-14,'002400,省广集团,7.48,7.48,6.8,6.81,6.8,0.68,10.0,9.3265,160991435,1172315065.73,13040161717.4,12911736138.8
2020-09-11,'002400,省广集团,6.8,6.92,6.45,6.56,6.7,0.1,1.4925,4.3747,75514920,509756918.6,11854692470.4,11737941944.4
2020-09-10,'002400,省广集团,6.7,6.94,6.65,6.83,6.75,-0.05,-0.7407,4.7824,82552939,560470321.06,11680358757.6,11565325151.1
2020-09-09,'002400,省广集团,6.75,7.26,6.74,7.23,7.37,-0.62,-8.4125,7.1585,123567210,862571591.75,11767525614.0,11651633547.8
2020-09-08,'002400,省广集团,7.37,7.75,7.25,7.62,7.7,-0.33,-4.2857,6.5034,112259462,834655742.72,12848394633.4,12721857666.2
2020-09-07,'002400,省广集团,7.7,8.14,7.41,8.01,8.09,-0.39,-4.8208,5.4808,94607164,747151532.09,13423695885.6,13291493084.1
2020-09-04,'002400,省广集团,8.09,8.24,8.0,8.01,8.29,-0.2,-2.4125,3.9017,67350002,545699298.02,14103597365.5,13964698578.0
2020-09-03,'002400,省广集团,8.29,8.59,7.92,8.18,8.2,0.09,1.0976,8.2497,142402916,1163530655.5,14452264791.1,14309932164.6
2020-09-02,'002400,省广集团,8.2,8.3,8.16,8.26,8.24,-0.04,-0.4854,4.6363,80030488,656975001.51,14295364449.6,14154577050.6
2020-09-01,'002400,省广集团,8.24,8.51,8.14,8.42,8.52,-0.28,-3.2864,5.8659,101255671,839648152.8,14365097934.7,14223623767.9
2020-08-31,'002400,省广集团,8.52,8.68,8.36,8.44,8.46,0.06,0.7092,5.7843,99847382,853244439.39,14853232330.6,14706950789.2
2020-08-28,'002400,省广集团,8.46,8.67,8.34,8.56,8.56,-0.1,-1.1682,5.6273,97136766,822789479.43,14748632102.9,14603380713.2
2020-08-27,'002400,省广集团,8.56,8.77,8.51,8.6,8.74,-0.18,-2.0595,5.2873,91267055,784617014.23,14922965815.7,14775997506.5
2020-08-26,'002400,省广集团,8.74,8.91,8.5,8.55,8.7,0.04,0.4598,7.1938,124177696,1082749577.86,15236766498.7,15086707734.4
2020-08-25,'002400,省广集团,8.7,8.95,8.51,8.65,8.74,-0.04,-0.4577,7.4207,128093224,1113604358.48,15167033013.6,15017661017.1
2020-08-24,'002400,省广集团,8.74,8.94,8.61,8.8,8.88,-0.14,-1.5766,5.6802,98049814,859321984.78,15236766498.7,15086707734.4
2020-08-21,'002400,省广集团,8.88,9.29,8.7,9.0,9.12,-0.24,-2.6316,8.396,144928410,1306037465.36,15480833696.6,15328371245.0
2020-08-20,'002400,省广集团,9.12,9.6,8.45,8.6,9.1,0.02,0.2198,12.4705,215262617,1941148500.94,15899234607.4,15742651549.0
2020-08-19,'002400,省广集团,9.1,9.8,9.08,9.8,9.77,-0.67,-6.8577,15.1627,261733922,2457438347.94,15864367864.8,15708128190.3
2020-08-18,'002400,省广集团,9.77,9.77,8.68,8.7,8.88,0.89,10.0225,17.3738,299901357,2810328366.42,17032403740.6,16864660705.4
2020-08-17,'002400,省广集团,8.88,8.97,8.61,8.83,8.74,0.14,1.6018,7.4667,128888180,1136453760.04,15480833696.6,15328371245.0
2020-08-14,'002400,省广集团,8.74,8.97,8.43,8.5,8.57,0.17,1.9837,8.1208,140178413,1223886577.9,15236766498.7,15086707734.4
2020-08-13,'002400,省广集团,8.57,8.74,8.53,8.63,8.62,-0.05,-0.58,6.1672,106456848,919528528.71,14940399187.0,14793259185.8
2020-08-12,'002400,省广集团,8.62,8.81,8.32,8.8,8.91,-0.29,-3.2548,9.2402,159501381,1364727710.9,15027566043.4,14879567582.5
2020-08-11,'002400,省广集团,8.91,9.28,8.85,8.98,9.04,-0.13,-1.4381,9.1889,158616283,1434595788.92,15533133810.5,15380156283.0
2020-08-10,'002400,省广集团,9.04,9.36,8.74,9.09,9.36,-0.32,-3.4188,11.8416,204405274,1846513051.33,15759767637.1,15604558114.3
2020-08-07,'002400,省广集团,9.36,9.92,9.2,9.82,10.13,-0.77,-7.6012,17.2546,297843713,2818175093.75,16317635518.1,16156931852.9
2020-08-06,'002400,省广集团,10.13,10.82,9.9,10.12,10.34,-0.21,-2.0309,17.6905,305368082,3136518080.23,17660005106.6,17486081161.3
2020-08-05,'002400,省广集团,10.34,11.0,9.81,11.0,10.9,-0.56,-5.1376,25.1759,434578325,4508180644.93,18026105903.5,17848576427.2
2020-08-04,'002400,省广集团,10.9,10.9,9.6,10.19,9.91,0.99,9.9899,29.7258,513117293,5400023800.39,19002374695.2,18815230469.7
2020-08-03,'002400,省广集团,9.91,9.91,9.3,9.3,9.01,0.9,9.9889,25.2815,436400902,4249239220.89,17276470938.5,17106324216.0
2020-07-31,'002400,省广集团,9.01,9.01,8.02,8.05,8.19,0.82,10.0122,15.3366,264735372,2272868917.33,15707467523.3,15552773076.3
2020-07-30,'002400,省广集团,8.19,8.57,8.18,8.42,8.41,-0.22,-2.6159,8.8395,152583827,1273365146.47,14277931078.3,14137315371.3
2020-07-29,'002400,省广集团,8.41,8.47,8.01,8.13,8.15,0.26,3.1902,9.0781,156703881,1300784922.06,14661465246.5,14517072316.5
2020-07-28,'002400,省广集团,8.15,8.26,8.02,8.2,8.15,0.0,0.0,6.4587,111487347,905912787.59,14208197593.2,14068268654.0
2020-07-27,'002400,省广集团,8.15,8.41,7.99,8.29,8.42,-0.27,-3.2067,8.1527,140730056,1148744077.55,14208197593.2,14068268654.0
2020-07-24,'002400,省广集团,8.42,9.27,8.41,9.2,9.34,-0.92,-9.8501,13.1665,227275118,1995849082.25,14678898617.8,14534333995.9
2020-07-23,'002400,省广集团,9.34,9.57,9.13,9.51,9.75,-0.41,-4.2051,10.7291,185202220,1730959429.38,16282768775.5,16122408494.2
2020-07-22,'002400,省广集团,9.75,9.85,9.05,9.2,9.29,0.46,4.9516,16.4099,283262803,2690738288.21,16997536998.0,16830137346.8
2020-07-21,'002400,省广集团,9.29,9.45,9.18,9.26,9.33,-0.04,-0.4287,8.3451,144050642,1339888356.23,16195601919.1,16036100097.6
2020-07-20,'002400,省广集团,9.33,9.37,9.01,9.22,9.19,0.14,1.5234,9.7204,167790474,1545126277.7,16265335404.2,16105146814.9
2020-07-17,'002400,省广集团,9.19,9.57,8.89,9.15,9.33,-0.14,-1.5005,10.1584,175351060,1614224088.45,16021268206.3,15863483304.3
2020-07-16,'002400,省广集团,9.33,10.26,9.33,10.07,10.37,-1.04,-10.0289,15.6738,270556874,2626962277.59,16265335404.2,16105146814.9
2020-07-15,'002400,省广集团,10.37,11.39,10.37,11.0,11.52,-1.15,-9.9826,17.5928,303681696,3296233889.16,18078406017.4,17900361465.2
2020-07-14,'002400,省广集团,11.52,11.95,11.43,11.61,11.62,-0.1,-0.8606,16.2324,280198219,3268230474.06,20083243714.6,19885454588.2
2020-07-13,'002400,省广集团,11.62,11.8,11.03,11.03,11.32,0.3,2.6502,16.4206,283447708,3251793979.66,20257577427.4,20058071381.5
2020-07-10,'002400,省广集团,11.32,11.97,11.29,11.6,11.85,-0.53,-4.4726,18.8599,325552786,3757502032.18,19734576289.0,19540221001.6
2020-07-09,'002400,省广集团,11.85,12.38,11.52,11.52,11.95,-0.1,-0.8368,27.7953,479793006,5726119691.19,20658544966.8,20455090006.0
2020-07-08,'002400,省广集团,11.95,12.83,11.34,12.65,12.6,-0.65,-5.1587,34.9407,603134728,7161486976.83,20832878679.6,20627706799.3
2020-07-07,'002400,省广集团,12.6,12.6,11.3,11.54,11.45,1.15,10.0437,34.0826,588323319,7070260977.42,21966047812.8,21749715955.8
2020-07-06,'002400,省广集团,11.45,12.04,10.5,10.7,11.05,0.4,3.6199,31.7282,547681983,6158441545.66,19961210115.6,19764622832.8
2020-07-03,'002400,省广集团,11.05,11.86,11.0,11.55,11.36,-0.31,-2.7289,26.2464,453057434,5160700602.13,19263875264.4,19074155659.7
2020-07-02,'002400,省广集团,11.36,11.45,10.78,10.88,11.35,0.01,0.0881,26.7205,461240583,5113055773.24,19804309774.1,19609267718.9
2020-07-01,'002400,省广集团,11.35,11.54,10.4,10.55,10.49,0.86,8.1983,38.4651,663972455,7454836802.63,19786876402.8,19592006039.5
2020-06-30,'002400,省广集团,10.49,10.58,9.88,10.0,10.39,0.1,0.9625,19.7076,340186841,3476345987.11,18287606472.7,18107501617.2
2020-06-29,'002400,省广集团,10.39,10.65,9.95,10.1,9.91,0.48,4.8436,23.2261,400921437,4173463285.88,18113272759.9,17934884823.9
2020-06-24,'002400,省广集团,9.91,10.15,9.64,9.71,9.8,0.11,1.1224,16.8039,290064056,2865112324.76,17276470938.5,17106324216.0
2020-06-23,'002400,省广集团,9.8,10.35,9.55,10.21,10.21,-0.41,-4.0157,20.9138,361008099,3592003091.37,17084703854.4,16916445743.4
