»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-11-18,'002403,∞Æ À¥Ô,8.42,8.49,8.39,8.46,8.47,-0.05,-0.5903,0.434,1520251,12821441.92,2949701144.42,2949701144.42
2020-11-17,'002403,∞Æ À¥Ô,8.47,8.47,8.37,8.44,8.47,0.0,0.0,0.5167,1810146,15226088.58,2967217184.47,2967217184.47
2020-11-16,'002403,∞Æ À¥Ô,8.47,8.48,8.37,8.38,8.41,0.06,0.7134,0.5462,1913350,16123363.49,2967217184.47,2967217184.47
2020-11-13,'002403,∞Æ À¥Ô,8.41,8.42,8.29,8.35,8.45,-0.04,-0.4734,0.4407,1543825,12888628.54,2946197936.41,2946197936.41
2020-11-12,'002403,∞Æ À¥Ô,8.45,8.53,8.31,8.36,8.38,0.07,0.8353,0.6743,2362242,19865949.62,2960210768.45,2960210768.45
2020-11-11,'002403,∞Æ À¥Ô,8.38,8.46,8.26,8.37,8.36,0.02,0.2392,0.6384,2236430,18682506.4,2935688312.38,2935688312.38
2020-11-10,'002403,∞Æ À¥Ô,8.36,8.49,8.3,8.49,8.46,-0.1,-1.182,0.5942,2081584,17496052.07,2928681896.36,2928681896.36
2020-11-09,'002403,∞Æ À¥Ô,8.46,8.53,8.4,8.42,8.36,0.1,1.1962,0.7237,2535120,21491573.0,2963713976.46,2963713976.46
2020-11-06,'002403,∞Æ À¥Ô,8.36,8.51,8.33,8.5,8.51,-0.15,-1.7626,0.5605,1963384,16506673.18,2928681896.36,2928681896.36
2020-11-05,'002403,∞Æ À¥Ô,8.51,8.6,8.36,8.53,8.48,0.03,0.3538,0.8822,3090468,26151684.07,2981230016.51,2981230016.51
2020-11-04,'002403,∞Æ À¥Ô,8.48,8.73,8.31,8.4,8.4,0.08,0.9524,1.4114,4944400,42456649.58,2970720392.48,2970720392.48
2020-11-03,'002403,∞Æ À¥Ô,8.4,8.65,8.24,8.29,8.17,0.23,2.8152,1.1193,3921250,32903025.2,2942694728.4,2942694728.4
2020-11-02,'002403,∞Æ À¥Ô,8.17,8.4,8.08,8.4,8.31,-0.14,-1.6847,1.2649,4431225,36358907.6,2862120944.17,2862120944.17
2020-10-30,'002403,∞Æ À¥Ô,8.31,9.12,8.31,9.12,9.22,-0.91,-9.8698,3.0479,10677362,91379535.85,2911165856.31,2911165856.31
2020-10-29,'002403,∞Æ À¥Ô,9.22,9.28,9.13,9.2,9.29,-0.07,-0.7535,0.7966,2790600,25701824.0,3229957785.22,3229957785.22
2020-10-28,'002403,∞Æ À¥Ô,9.29,9.37,8.98,9.06,9.06,0.23,2.5386,0.9323,3266048,30085183.26,3254480241.29,3254480241.29
